runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
0.002017,0,1,0,347,1402,0,1,-1,304,304,304,2147483647,4.7e-05,0.001034,0,0.002006,0,0,0,0.01691,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
0.00204,0,1,0,347,1402,0,1,-1,304,304,304,2147483647,4.6e-05,0.001092,0,0.00203,0,0,0,0.017472,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
0.000438,0,1,0,107,442,0,1,-1,102,102,102,2147483647,8e-06,5.8e-05,0,0.000429,0,0,0,0.006015,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
3.5e-05,0,1,0,5,19,0,1,-1,4,4,4,2147483647,0,0,0,2.8e-05,0,0,0,0.001276,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
3.9e-05,0,1,0,5,19,0,1,-1,4,4,4,2147483647,0,0,0,3.1e-05,0,0,0,0.001227,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
4.9e-05,0,1,0,5,19,0,1,-1,4,4,4,2147483647,0,0,0,4.2e-05,0,0,0,0.001275,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
3.7e-05,0,1,0,5,19,0,1,-1,4,4,4,2147483647,0,0,0,2.9e-05,0,0,0,0.001289,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
6e-05,0,1,0,5,19,0,1,-1,4,4,4,2147483647,0,0,0,3.1e-05,0,0,0,0.001277,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
6.8e-05,0,1,0,5,19,0,1,-1,4,4,4,2147483647,0,0,0,3.1e-05,0,0,0,0.001287,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
6.6e-05,0,1,0,5,19,0,1,4,4,4,4,2147483647,0,0,0,2.8e-05,0,0,0,0.001075,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,0,0,0
0.004466,3,7,0,747,2455,0,1,304,304,304,304,2147483647,0.00011,0.002225,0.002098,0.002145,0.002165,0,0,0.01591,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,1,3,5
60.0123,4750,9501,0,16171173,23884659,0,1,-1,3015,3011,3011,2147483647,0.61118,18.6044,59.193,0.053214,59.8238,0,0,0.160503,ECBS_1.001000,instances/scen-even/den312d-even-1.scen,606,24,43
60.0098,4318,8637,0,5138911,12667759,0,1,-1,6133,6133,6133,2147483647,1.53577,41.92,57.8859,0.223055,59.4719,0,0,0.33234,ECBS_1.001000,instances/scen-even/den312d-even-1.scen,4253,20,87
60.007,4075,8151,0,4849605,11957500,0,1,-1,6133,6133,6133,2147483647,1.56807,41.9165,57.8585,0.218613,59.4765,0,0,0.333072,ECBS_1.001000,instances/scen-even/den312d-even-1.scen,4010,20,87
60.0661,2619,5239,0,3069424,6469076,0,1,-1,2433,2423,2423,2147483647,0.79489,29.4443,59.0208,0.036806,59.8616,0,0,0.132408,ECBS_1.001000,instances/scen-even/den312d-even-1.scen,432,28,36
600.004,61916,123833,0,71306318,152626379,0,1,-1,2435,2423,2423,2147483647,8.7301,285.261,588.749,0.034291,597.792,0,0,0.130487,ECBS_1.001000,instances/scen-even/den312d-even-1.scen,12079,20,23
462.523,8,17,0,33941727,34494820,0,1,-1,55778,55870,55778,2147483647,0.029844,2.79055,459.821,2.69222,459.83,0,0,6.14641,ECBS_1.010000,instances/scen-even/brc202d-even-1.scen,1,27,36
444.824,4,9,0,17323107,17557261,0,1,-1,23066,23088,23066,2147483647,0.005947,0.442894,444.314,0.507319,444.317,0,0,2.8649,ECBS_1.010000,instances/scen-even/brc202d-even-1.scen,1,31,36
2.43682,6,13,0,499411,597451,0,1,17871,17865,17868,17865,2147483647,0.010255,0.745949,1.77974,0.654389,1.78217,0,0,6.80913,ECBS_1.010000,instances/scen-random/Paris_1_256-random-1.scen,1,5,58
38.0545,37,75,0,6347951,6785406,0,1,35762,35600,35620,35600,2147483647,0.075366,5.10745,35.1995,2.8107,35.2408,0,0,14.6641,ECBS_1.010000,instances/scen-random/Paris_1_256-random-1.scen,8,57,120
300.342,130,261,0,22522739,24034029,0,1,-1,74100,74168,74100,2147483647,1.22433,69.0628,284.872,14.3857,285.911,0,0,27.0566,ECBS_1.010000,instances/scen-random/Paris_1_256-random-1.scen,26,269,370
54.8162,52,105,0,8867191,9509599,0,1,44684,44426,44456,44426,2147483647,0.134502,9.34885,49.9952,4.73801,50.073,0,0,16.7936,ECBS_1.010000,instances/scen-random/Paris_1_256-random-1.scen,8,57,120
