runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
300.039,41128,82257,0,53139249,84657683,0,1,-1,2684,2773,2684,2147483647,10.8651,156.475,286.372,0.140738,297.758,0,0,0.120968,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,4308,61,79
300.042,42215,84431,0,53306558,82223756,0,1,-1,2509,2562,2509,2147483647,10.8482,160.592,286.421,0.120892,297.785,0,0,0.124478,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,2163,95,100
300.063,51427,102855,0,47349847,80519442,0,1,-1,2455,2514,2455,2147483647,13.1742,169.16,283.52,0.098487,297.349,0,0,0.111698,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,1752,33,99
300.069,35984,71969,0,34913228,59494534,0,1,-1,2413,2470,2413,2147483647,11.6003,179.341,285.115,0.114525,297.425,0,0,0.117065,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,3042,58,89
300.043,41128,82257,0,25618593,42849638,0,1,-1,2682,2745,2682,2147483647,12.0915,204.823,284.068,0.271681,296.947,0,0,0.210552,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,3002,17,97
300.044,38864,77729,0,37908025,62451374,0,1,-1,2594,2663,2594,2147483647,11.9553,179.248,284.478,0.135895,297.119,0,0,0.137818,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,1473,53,106
300.032,32544,65089,0,40830227,64328860,0,1,-1,2483,2552,2483,2147483647,11.2756,153.165,285.288,0.17159,297.328,0,0,0.180441,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,1125,46,97
300.053,49790,99581,0,29424559,56486000,0,1,-1,2580,2637,2580,2147483647,14.9747,201.628,281.15,0.110406,296.992,0,0,0.126134,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,9618,82,92
300.036,38638,77277,0,42202799,68288275,0,1,-1,2577,2658,2577,2147483647,12.478,166.054,283.993,0.128711,297.22,0,0,0.129559,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,2531,78,114
300.056,50707,101411,0,29831960,51625692,0,1,-1,2330,2386,2330,2147483647,13.7075,206.146,282.683,0.114215,297.093,0,0,0.129581,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,4636,54,113
300.038,37880,75761,0,50743949,78389256,0,1,-1,2562,2625,2562,2147483647,9.70559,161.525,287.833,0.118455,298.018,0,0,0.118664,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,4036,23,96
300.045,30418,60837,0,61314020,84809023,0,1,-1,2655,2725,2654,2147483647,8.28684,141.89,289.484,0.133299,298.174,0,0,0.117301,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,1783,59,72
