runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
1.05035,111,223,0,111899,182848,0,1,2112,1944,1996,1944,2147483647,0.035287,0.562326,0.887196,0.112582,0.920905,0,0,0.144394,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,34,30,53
0.487115,39,79,0,49676,80373,0,1,2054,1879,1913,1879,2147483647,0.014203,0.263172,0.357254,0.106363,0.368677,0,0,0.146514,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,2,19,28
0.397653,38,77,0,39837,67505,0,1,1898,1756,1782,1756,2147483647,0.014179,0.217865,0.280972,0.094011,0.292181,0,0,0.149827,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,3,27,52
0.414403,37,75,0,36767,62057,0,1,1980,1807,1842,1807,2147483647,0.013464,0.247421,0.288741,0.10351,0.299468,0,0,0.144608,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,2,11,26
300.035,41847,83695,0,27498464,46749350,0,1,-1,2003,2037,2003,2147483647,10.9965,179.94,286.109,0.110644,297.628,0,0,0.144997,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,4712,19,61
0.403719,40,81,0,37949,67508,0,1,2186,2002,2039,2002,2147483647,0.013868,0.236253,0.280986,0.099659,0.292233,0,0,0.137663,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,5,29,40
300.034,38713,77427,0,38991611,63704385,0,1,-1,1887,1932,1887,2147483647,9.78591,146.496,287.587,0.099559,297.887,0,0,0.138736,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,2580,26,74
0.321049,36,73,0,37164,63000,0,1,2103,1912,1948,1912,2147483647,0.01121,0.1803,0.223072,0.079452,0.231969,0,0,0.116421,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,8,36,56
300.041,50450,100901,0,27539590,50258783,0,1,-1,1934,1986,1934,2147483647,10.4395,194.82,286.675,0.095401,297.64,0,0,0.121415,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,11990,0,12
0.347452,42,85,0,32493,57730,0,1,1905,1744,1774,1744,2147483647,0.012205,0.216459,0.241362,0.084831,0.251302,0,0,0.122006,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,2,8,55
0.408433,38,77,0,51821,82108,0,1,2057,1913,1952,1913,2147483647,0.011524,0.218311,0.294525,0.09492,0.303639,0,0,0.121068,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,3,26,43
55.3229,7642,15285,0,6443914,10564033,0,1,2233,2030,2077,2030,2147483647,1.66433,31.9845,53.064,0.102303,54.8042,0,0,0.120917,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,2081,5,46
0.594877,76,153,0,80756,126967,0,1,2134,1942,1968,1942,2147483647,0.018834,0.32274,0.483294,0.08334,0.50018,0,0,0.112682,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,13,16,69
0.361263,44,89,0,46623,77938,0,1,2066,1889,1935,1889,2147483647,0.01205,0.199159,0.26252,0.07929,0.272428,0,0,0.115139,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-14.scen,5,3,80
0.396107,61,123,0,41793,75497,0,1,2036,1857,1901,1857,2147483647,0.015956,0.242862,0.293842,0.078167,0.307705,0,0,0.115439,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-15.scen,9,61,62
300.036,49556,99113,0,38112406,64655117,0,1,-1,1772,1814,1772,2147483647,10.2811,164.143,286.911,0.077723,297.667,0,0,0.112107,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-16.scen,10286,2,48
300.03,32528,65057,0,59481812,85178860,0,1,-1,1752,1790,1752,2147483647,7.06871,104.246,291.053,0.074242,298.489,0,0,0.112699,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-17.scen,3495,17,47
300.048,42565,85131,0,37226662,61010853,0,1,-1,1862,1894,1862,2147483647,9.9905,162.535,287.171,0.087189,297.655,0,0,0.112572,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-18.scen,3773,48,53
0.624836,50,101,0,29695,57032,0,1,2160,1999,2046,1999,2147483647,0.022218,0.423363,0.44938,0.139827,0.468886,0,0,0.176474,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-19.scen,5,52,72
0.537869,40,81,0,38734,67011,0,1,2075,1888,1921,1888,2147483647,0.017274,0.305202,0.359201,0.139717,0.37325,0,0,0.190461,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-20.scen,4,59,61
0.639955,77,155,0,36670,70581,0,1,2006,1865,1910,1864,2147483647,0.027098,0.430197,0.487876,0.111454,0.512192,0,0,0.169683,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-21.scen,16,12,59
300.026,21833,43667,0,18746606,29485617,0,1,-1,1894,1931,1894,2147483647,10.2131,162.451,286.858,0.160622,297.683,0,0,0.170169,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-22.scen,2744,13,79
300.02,19759,39519,0,7452636,13361937,0,1,-1,1916,1966,1916,2147483647,12.2635,211.33,283.928,0.293337,296.925,0,0,0.78547,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-23.scen,7759,21,73
